,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Value
26,Kazakhstan,Asia,2006,25.6,29.0,270.9885,6.76,99,99,25.8,99,99,0.08,7838,15.31,2.4,2.5,11.7,0,1,66.2,116.26143
27,Cameroon,Africa,2015,57.0,88.0,340.1265,4.55,84,64,24.3,77,84,1.12,1383,23.3,5.6,5.5,6.1,0,1,57.6,12.658084
28,Jordan,Middle East,2006,19.2,22.5,121.011,0.55,98,88,28.3,98,98,0.13,4516,5.99,3.9,3.8,9.8,0,1,72.8,32.673294
29,Zimbabwe,Africa,2009,54.0,91.3,551.9115,2.77,73,64,23.6,69,73,7.31,941,12.53,7.5,7.4,7.2,0,1,48.4,57.15552
30,Bhutan,Asia,2005,44.7,57.5,253.2655,0.73,95,76,22.8,95,95,0.19,1489,0.65,17.8,18.6,2.3,0,1,65.3,25.852934
31,Switzerland,Rest of Europe,2010,3.9,4.6,56.9105,10.01,88,83,25.1,96,95,0.06,82027,7.82,0.5,0.4,13.3,1,0,82.2,92.998184
32,South Africa,Africa,2006,48.7,79.2,515.718,7.3,83,53,26.6,79,82,11.13,5827,48.49,1.6,12.8,9.0,0,1,53.8,63.694958
33,Jordan,Middle East,2012,16.2,19.0,113.2855,0.36,98,96,28.7,98,98,0.13,4387,8.09,3.9,3.9,9.9,0,1,73.7,28.229307
34,Eritrea,Africa,2012,36.8,51.2,274.029,1.03,94,88,20.6,94,94,0.18,699,3.28,8.7,8.6,3.9,0,1,63.2,16.8394
35,Germany,European Union,2010,3.5,4.2,77.604,11.58,88,93,26.3,94,95,0.03,37761,81.78,1.1,1.1,13.8,1,0,80.0,119.08988
36,Saudi Arabia,Middle East,2014,8.3,9.6,89.12,0.0,98,98,28.3,98,98,0.13,20328,30.92,7.7,7.5,9.5,0,1,74.5,26.370005
37,Kiribati,Oceania,2004,49.4,64.6,214.7745,0.49,67,34,29.1,61,62,0.17,1488,0.09,0.2,0.2,7.2,0,1,64.2,140.01265
38,Seychelles,Africa,2011,12.2,14.2,154.4505,7.83,99,99,26.3,99,99,3.5,13664,0.09,5.7,6.1,8.4,0,1,72.7,70.79336
39,Madagascar,Africa,2012,44.6,64.8,232.446,0.85,68,64,21.1,71,70,0.18,465,22.35,7.4,7.3,6.1,0,1,64.3,12.996548
40,Singapore,Asia,2014,2.2,2.7,52.393,1.84,96,90,23.6,96,96,0.08,54683,5.47,2.2,2.2,11.4,0,1,82.5,30.540756
41,Togo,Africa,2008,61.4,94.4,318.7475,1.44,82,64,22.9,80,81,1.45,456,6.08,7.7,7.6,4.3,0,1,56.2,24.180346
42,Denmark,European Union,2009,3.6,4.2,85.8135,10.08,88,85,25.3,89,89,0.04,50457,5.52,1.1,0.9,12.7,1,0,78.6,188.24974
43,"Gambia, The",Africa,2015,39.7,59.8,261.7065,2.69,97,64,23.9,96,97,0.96,661,2.09,7.3,7.2,3.4,0,1,60.9,16.13228
44,Costa Rica,Central America and Caribbean,2014,7.9,9.3,87.237,3.12,91,90,27.2,91,91,0.19,11355,4.8,1.7,1.7,8.6,0,1,79.4,27.551643
45,Belize,Central America and Caribbean,2010,16.2,18.9,181.584,6.47,96,91,28.4,96,96,0.37,4768,0.32,3.5,3.4,10.5,0,1,72.1,20.645893
46,Sweden,European Union,2010,2.5,3.1,57.492,7.38,61,94,25.8,98,98,0.08,48370,9.38,1.3,1.3,12.3,1,0,81.5,105.41505
47,Austria,European Union,2014,3.1,3.8,65.815,12.4,98,87,25.5,98,98,0.08,44245,8.55,1.8,2.0,12.1,1,0,81.5,100.37182
48,Kyrgyz Republic,Asia,2012,23.2,26.1,183.8625,5.98,96,65,26.1,94,96,0.14,994,5.61,3.2,3.3,10.7,0,1,70.0,80.31245
49,Grenada,Central America and Caribbean,2013,13.8,15.8,143.8315,7.81,97,85,26.7,98,97,0.4,8067,0.11,3.8,3.8,8.5,0,1,72.6,29.413336
50,Brunei Darussalam,Asia,2010,7.9,9.7,91.9455,0.25,96,93,26.4,99,95,0.1,33437,0.39,5.9,5.4,8.8,0,1,74.7,35.552387
51,Greece,European Union,2009,3.4,3.9,75.948,8.32,95,77,27.0,99,99,0.09,22839,11.11,0.8,0.7,10.1,1,0,80.2,175.91307
52,Norway,Rest of Europe,2010,2.7,3.3,64.862,6.59,88,97,26.4,93,93,0.04,72427,4.89,0.7,0.7,12.7,1,0,81.0,85.53591
53,Uruguay,South America,2006,11.7,13.5,116.762,6.45,95,93,26.3,95,95,0.2,10575,3.33,1.6,1.6,8.0,0,1,76.0,105.02757
54,Croatia,European Union,2006,5.5,6.4,109.298,10.98,96,98,26.2,96,96,0.02,11960,4.31,1.8,1.8,9.9,1,0,75.8,184.43933
55,Romania,European Union,2008,11.9,14.0,151.8615,12.38,97,95,25.8,95,96,0.04,8280,20.54,3.1,3.5,10.6,1,0,72.6,140.91603
56,Central African Republic,Africa,2011,96.7,140.5,463.613,1.97,47,64,22.5,47,47,1.78,550,4.42,8.8,8.8,3.7,0,1,48.0,27.32707
57,Algeria,Africa,2015,21.6,25.2,95.8155,0.55,95,99,25.5,95,95,0.05,4178,39.73,6.0,5.8,7.9,0,1,76.1,35.08052
58,"Yemen, Rep.",Middle East,2011,45.3,58.5,231.9445,0.04,69,95,23.4,69,69,0.03,2311,23.81,13.7,13.6,2.8,0,1,65.8,36.19253
59,Armenia,Rest of Europe,2009,17.2,19.2,139.3615,3.97,93,96,26.0,94,93,0.08,2884,2.89,2.0,2.1,11.1,0,1,73.1,145.40381
60,Zimbabwe,Africa,2004,51.2,92.4,686.639,2.48,68,64,23.4,67,65,9.75,1212,12.02,9.4,9.4,6.8,0,1,43.1,57.414
61,St. Vincent and the Grenadines,Central America and Caribbean,2003,19.0,21.7,179.187,5.47,99,83,25.8,99,99,0.4,6075,0.11,3.8,3.8,7.8,0,1,71.1,26.14575
62,Kenya,Africa,2007,43.7,68.0,345.5865,1.2,81,28,22.6,76,81,2.73,1287,38.71,8.4,8.3,6.0,0,1,57.5,18.355543
63,"Micronesia, Fed. Sts.",Oceania,2003,29.0,35.2,180.9535,3.16,89,65,28.9,88,92,0.17,3035,0.11,0.2,0.2,5.5,0,1,65.1,85.960396
64,Antigua and Barbuda,Central America and Caribbean,2004,11.0,13.5,148.5575,6.72,97,64,25.5,97,97,0.1,14400,0.08,3.5,3.4,9.1,0,1,74.8,22.262278
65,Nepal,Asia,2007,41.9,53.4,191.5375,0.2,82,65,21.4,82,82,0.17,643,26.38,17.2,17.8,3.0,0,1,66.3,69.85196
66,Lithuania,European Union,2005,7.3,9.0,222.069,12.42,95,95,26.2,93,94,0.06,9766,3.32,3.0,3.1,11.8,1,0,71.3,159.36339
67,Vanuatu,Oceania,2003,23.5,28.1,168.7145,0.88,64,65,25.6,67,69,0.17,2519,0.2,1.6,1.6,6.5,0,1,68.0,53.93834
68,Afghanistan,Asia,2000,90.5,129.2,310.8305,0.02,62,12,21.7,24,24,0.02,148,20.78,2.3,2.5,2.2,0,1,55.8,37.873104
69,Kuwait,Middle East,2011,8.5,10.0,64.969,0.0,99,99,29.1,99,99,0.13,33167,3.17,3.3,3.2,7.0,0,1,74.6,23.364328
70,Kenya,Africa,2011,38.5,55.5,260.375,1.47,96,28,22.9,97,96,1.8,1357,43.18,8.1,7.9,6.2,0,1,61.9,17.102869
71,Germany,European Union,2004,4.0,4.9,86.3185,11.83,88,89,26.0,96,96,0.08,35034,82.52,1.1,1.1,12.9,1,0,78.7,122.56669
72,Argentina,South America,2014,10.8,12.1,118.5375,7.93,94,96,27.5,92,94,0.13,13568,42.67,1.0,0.9,9.8,0,1,75.9,68.854065
73,Panama,Central America and Caribbean,2008,18.0,21.1,124.016,6.0,86,79,26.3,86,86,0.4,9894,3.52,2.0,2.0,9.2,0,1,76.4,21.10708
74,Oman,Middle East,2015,9.6,11.2,89.1875,0.45,99,98,26.3,99,99,0.05,18445,4.27,7.1,6.9,9.5,0,1,76.9,14.543922
75,France,European Union,2014,3.1,4.1,74.8905,12.07,83,77,25.0,98,98,0.1,36379,66.31,0.6,0.6,11.4,1,0,82.7,86.10245
76,Bosnia and Herzegovina,Rest of Europe,2011,6.0,6.9,101.667,4.71,88,88,25.4,89,88,0.08,4185,3.66,2.6,2.5,7.2,0,1,76.2,179.80441
77,Mauritania,Africa,2002,68.6,111.5,227.5,0.012,61,64,23.9,91,89,0.45,1234,2.78,1.5,1.3,3.1,0,1,60.9,13.251475
78,Somalia,Africa,2008,101.1,166.5,331.401,0.0,42,64,22.7,40,31,0.13,265,11.4,7.2,7.0,2.1,0,1,53.3,20.889097
79,Azerbaijan,Asia,2011,30.5,34.9,134.006,0.6,84,92,26.5,91,87,0.08,5153,9.17,2.8,2.9,10.7,0,1,71.2,97.841
80,Maldives,Asia,2007,15.1,17.6,79.101,1.51,98,56,24.1,98,98,0.17,8535,0.34,14.3,14.4,3.9,0,1,74.6,37.80909
81,Armenia,Rest of Europe,2012,14.7,16.4,129.837,3.89,95,97,26.1,96,95,0.08,3313,2.88,2.0,2.1,11.3,0,1,73.8,139.47644
82,Ghana,Africa,2009,48.8,72.3,261.2595,1.26,94,55,23.5,94,94,1.06,1348,24.17,7.3,7.2,6.7,0,1,60.6,14.014671
83,Somalia,Africa,2006,104.0,172.0,337.337,0.0001,42,64,22.5,26,26,0.13,237,10.76,7.4,7.2,2.1,0,1,52.7,21.617653
84,Switzerland,Rest of Europe,2014,3.8,4.3,49.998,9.62,88,87,25.1,96,96,0.05,84348,8.19,0.4,0.3,13.4,1,0,83.2,90.16206
85,Argentina,South America,2005,14.8,16.5,131.475,7.6,88,88,26.6,95,98,0.15,11192,38.89,1.1,1.0,9.1,0,1,74.5,76.92547
86,Guinea-Bissau,Africa,2010,72.6,114.5,287.62,3.06,83,64,23.0,82,83,2.41,586,1.52,8.0,7.9,2.6,0,1,54.6,12.786861
87,Solomon Islands,Oceania,2000,25.6,30.7,228.169,0.71,81,65,24.9,88,86,0.17,1939,0.41,1.4,1.4,4.6,0,1,67.4,68.92173
88,"Congo, Dem. Rep.",Africa,2000,106.5,159.3,344.252,2.05,69,64,20.7,42,40,1.07,351,47.11,12.4,12.3,3.3,0,1,50.0,14.613637
89,Namibia,Africa,2010,36.8,49.1,412.4735,1.4,83,64,23.8,83,83,5.85,4147,2.12,1.4,1.4,6.2,0,1,56.7,40.281734
90,Russian Federation,Rest of Europe,2004,12.0,14.9,317.967,11.5,96,97,25.9,98,97,0.08,6857,144.07,2.5,2.8,11.4,0,1,65.5,224.28165
91,Japan,Asia,2003,2.9,4.0,70.306,7.82,83,86,22.5,97,97,0.17,31830,127.72,1.7,1.4,11.0,1,0,81.8,105.86743
92,Mauritania,Africa,2004,67.8,109.7,223.7,0.014,61,64,24.1,68,70,0.4,1307,2.94,1.0,9.8,3.3,0,1,61.2,12.610188
93,Eswatini,Africa,2007,59.3,103.8,579.801,6.34,92,99,26.1,88,87,18.67,3175,1.04,6.5,6.7,5.3,0,1,43.3,35.88555
94,Nigeria,Africa,2011,83.0,133.1,372.383,4.99,46,64,23.0,48,48,0.73,2464,162.81,11.0,1.9,5.5,0,1,51.3,5.654051
95,United Arab Emirates,Middle East,2002,9.1,10.6,92.432,1.6,92,92,27.3,94,94,0.13,56815,3.48,5.3,5.0,8.6,0,1,74.8,19.738287
96,Burundi,Africa,2005,78.4,124.9,346.6695,6.07,87,57,21.0,82,87,0.83,296,7.36,8.2,8.3,2.3,0,1,53.4,15.026435
97,Tajikistan,Asia,2006,44.1,51.9,155.062,0.56,88,96,24.7,76,83,0.07,662,6.92,3.8,3.9,10.5,0,1,66.8,39.548035
98,Honduras,Central America and Caribbean,2000,30.3,37.0,171.706,2.47,93,83,24.8,88,94,0.53,1790,6.57,2.8,2.7,4.3,0,1,70.7,23.944738
99,Colombia,South America,2008,16.7,19.5,151.1495,4.35,92,70,25.5,92,92,0.19,4992,44.25,2.3,2.0,7.3,0,1,75.0,22.391916
100,"Gambia, The",Africa,2009,47.1,76.8,277.4475,3.05,97,64,23.3,97,98,1.29,733,1.74,8.4,8.3,2.7,0,1,59.3,19.585306
101,Madagascar,Africa,2015,41.3,59.0,218.4575,0.86,69,64,21.3,68,69,0.24,467,24.23,7.1,7.1,6.1,0,1,65.5,12.784627
102,Iceland,Rest of Europe,2003,2.8,3.5,58.787,6.52,88,92,25.7,97,97,0.03,43764,0.29,1.0,0.9,9.8,1,0,81.0,92.87469
103,Morocco,Africa,2002,40.6,48.0,140.5375,0.46,92,92,24.8,94,94,0.06,1905,29.45,6.6,6.5,3.6,0,1,69.8,31.850216
104,Pakistan,Asia,2011,68.6,85.0,166.204,0.04,74,38,23.5,63,74,0.13,1246,183.34,2.0,2.4,4.8,0,1,65.6,53.16387
105,Bolivia,South America,2009,34.8,44.1,204.4305,3.64,93,83,25.7,92,93,0.18,2455,9.88,1.2,1.1,7.9,0,1,67.5,20.282612
106,Cambodia,Asia,2006,49.3,59.7,214.084,1.18,80,48,21.2,80,80,0.3,760,13.48,11.4,11.6,3.6,0,1,63.9,79.62845
107,Malaysia,Asia,2006,7.0,8.1,129.376,0.45,95,90,24.6,95,95,0.2,7531,26.2,8.8,8.6,8.2,0,1,73.7,51.021587
108,Romania,European Union,2006,14.2,16.6,159.0955,9.89,99,96,25.5,97,97,0.04,6846,21.19,3.2,3.7,10.3,1,0,72.2,143.43346
109,Dominican Republic,Central America and Caribbean,2008,29.1,35.5,173.0485,5.91,81,83,25.7,86,82,0.59,5410,9.46,3.4,3.3,7.2,0,1,71.6,29.786358
110,Dominican Republic,Central America and Caribbean,2008,29.1,35.5,173.0485,5.91,81,83,25.7,86,82,0.59,5410,9.46,3.4,3.3,7.2,0,1,71.6,52.617496
111,Norway,Rest of Europe,2015,2.2,2.7,53.897,5.97,88,91,26.6,95,95,0.04,74356,5.19,0.8,0.7,12.5,1,0,82.3,69.89689
112,Italy,European Union,2005,3.8,4.5,64.2915,8.65,96,84,25.6,97,95,0.09,33258,57.97,0.5,0.5,9.2,1,0,80.8,117.54625
113,Vietnam,Asia,2015,17.4,21.8,124.547,2.98,97,65,21.7,97,97,0.12,2582,92.68,14.2,14.5,8.0,0,1,75.1,78.76656
114,Albania,Rest of Europe,2007,15.3,17.1,82.6975,5.46,98,95,25.8,99,98,0.03,3045,2.97,1.6,1.7,9.2,0,1,75.6,91.52093
115,Oman,Middle East,2013,9.7,11.3,92.6785,0.44,98,99,26.1,99,98,0.05,19654,3.76,7.0,6.8,8.9,0,1,76.4,14.6055
116,Czechia,European Union,2001,4.3,5.2,121.6575,13.64,92,98,26.5,97,98,0.08,12735,10.22,2.2,2.3,10.9,1,0,75.2,157.89302
117,Tonga,Oceania,2002,13.8,16.0,155.0705,1.5,88,98,31.4,90,84,0.17,3952,0.1,0.1,0.1,9.1,0,1,69.8,86.76261
118,"Congo, Rep.",Africa,2001,70.7,111.1,420.18,0.9,71,64,22.1,32,31,2.41,2080,3.22,9.4,9.0,5.6,0,1,52.5,22.783203
119,Slovenia,European Union,2010,2.6,3.2,86.192,10.33,88,96,26.1,96,96,0.02,20613,2.05,1.6,1.6,12.1,1,0,79.4,92.612526
120,Gabon,Africa,2001,52.3,81.4,321.9725,9.27,70,64,23.8,44,45,3.6,7867,1.26,7.8,7.7,6.3,0,1,58.0,23.722006
121,Zambia,Africa,2014,46.0,68.3,309.5495,4.22,86,33,22.4,78,86,4.77,1341,15.4,6.3,6.2,6.9,0,1,60.8,16.057684
122,Eswatini,Africa,2015,45.2,57.2,434.821,7.49,90,83,26.8,84,90,14.3,3680,1.1,4.0,4.1,6.5,0,1,55.4,28.475904
123,Togo,Africa,2000,75.7,119.9,331.9545,1.08,81,64,22.0,63,64,2.97,506,4.92,9.4,9.3,4.0,0,1,53.5,24.47264
124,Dominican Republic,Central America and Caribbean,2014,28.8,35.0,163.0145,5.23,89,83,26.3,90,91,0.4,6547,10.17,3.3,3.2,7.8,0,1,73.0,33.89049
125,Dominican Republic,Central America and Caribbean,2014,28.8,35.0,163.0145,5.23,89,83,26.3,90,91,0.4,6547,10.17,3.3,3.2,7.8,0,1,73.0,52.663376
126,"Egypt, Arab Rep.",Africa,2001,35.2,43.9,174.899,0.13,99,64,27.8,99,99,0.13,2652,70.15,3.5,3.4,4.9,0,1,68.8,55.776527
127,Papua New Guinea,Oceania,2014,41.2,52.4,227.218,1.35,67,65,25.4,43,73,0.4,2565,7.95,1.3,1.3,4.3,0,1,63.2,43.76359
128,Ireland,European Union,2000,6.0,7.1,94.6415,13.84,95,86,26.3,86,86,0.04,41623,3.81,0.3,0.3,10.8,1,0,76.5,158.10873
129,Bhutan,Asia,2010,34.1,42.4,227.3425,0.23,91,85,23.3,92,91,0.16,2235,0.69,16.6,17.3,2.3,0,1,68.4,27.695614
130,Comoros,Africa,2001,72.1,100.2,270.665,0.1,71,64,22.9,70,70,0.02,1188,0.56,7.8,7.8,3.0,0,1,59.5,25.334044
131,Chile,South America,2014,6.9,8.1,90.433,7.92,95,88,27.8,95,95,0.19,13367,17.76,0.8,0.8,10.1,0,1,79.5,32.921494
132,Syrian Arab Republic,Middle East,2006,16.5,19.3,115.127,0.75,83,81,27.4,83,80,0.13,1550,19.06,6.4,6.3,6.2,0,1,74.4,39.13069
133,Cambodia,Asia,2009,40.2,47.5,198.62,1.42,92,47,21.5,95,94,0.19,855,14.09,11.1,11.4,3.7,0,1,66.0,80.48531
134,Serbia,Rest of Europe,2004,8.4,9.7,145.094,9.17,89,96,25.5,96,88,0.01,4162,7.46,2.6,2.6,10.0,0,1,72.7,213.83434
135,Belgium,European Union,2002,4.4,5.4,95.81,11.29,60,78,25.6,96,95,0.08,36393,10.33,0.8,0.8,10.3,1,0,78.1,161.4441
136,Belize,Central America and Caribbean,2004,18.2,21.3,190.602,6.07,97,89,27.8,97,97,1.48,4830,0.28,3.6,3.5,10.3,0,1,69.7,22.278418
137,Costa Rica,Central America and Caribbean,2000,11.1,13.1,98.9985,4.24,89,86,25.8,80,88,0.13,7678,3.96,2.4,2.3,8.0,0,1,77.5,30.751501
138,Romania,European Union,2007,13.0,15.2,155.9065,11.06,99,96,25.6,96,96,0.04,7450,20.88,3.2,3.6,10.5,1,0,72.6,139.60979
139,Cuba,Central America and Caribbean,2008,5.4,6.7,96.542,4.25,95,98,25.1,99,95,0.15,6501,11.24,3.4,3.2,10.6,0,1,78.2,104.08207
140,Honduras,Central America and Caribbean,2014,17.1,20.0,147.875,2.42,97,83,26.5,99,97,0.06,2256,8.96,2.1,2.1,6.2,0,1,74.3,33.304337
141,Trinidad and Tobago,Central America and Caribbean,2007,21.7,24.4,184.093,6.03,89,87,26.7,90,88,0.4,18076,1.31,6.1,6.5,10.5,0,1,71.2,45.722237
142,Botswana,Africa,2004,42.1,72.7,528.2495,4.91,91,83,23.9,96,96,13.43,4860,1.77,1.5,1.4,8.1,0,1,51.2,58.80738
143,St. Vincent and the Grenadines,Central America and Caribbean,2005,18.9,21.5,173.295,6.37,99,83,26.0,93,99,0.4,6465,0.11,3.7,3.7,7.9,0,1,71.3,26.229506
144,Bolivia,South America,2003,47.8,63.3,227.5185,2.32,80,83,25.1,82,88,0.2,2083,8.91,1.4,1.3,7.1,0,1,64.2,19.785112
145,Paraguay,South America,2002,26.8,32.3,166.295,4.81,89,55,25.1,87,87,0.18,3725,5.53,2.4,2.3,6.5,0,1,71.0,43.977623
146,"Bahamas, The",Central America and Caribbean,2014,12.2,14.3,160.15,9.22,96,83,27.8,96,96,0.34,31689,0.37,2.5,2.5,11.1,0,1,72.8,27.886114
147,Costa Rica,Central America and Caribbean,2004,9.9,11.5,96.3765,4.08,89,85,26.2,90,90,0.15,8395,4.23,2.1,2.0,7.9,0,1,78.0,30.763643
148,Malta,European Union,2001,6.6,7.5,62.98,5.99,86,47,26.9,95,95,0.08,16860,0.39,0.7,0.7,8.2,1,0,78.8,90.93155
149,Malawi,Africa,2000,100.5,174.6,570.551,1.36,79,64,21.7,73,75,9.54,294,11.15,8.0,7.9,3.0,0,1,45.1,33.151665
150,Finland,European Union,2006,3.0,3.6,94.799,10.15,88,92,25.9,97,97,0.08,44074,5.27,0.9,0.8,12.0,1,0,79.2,85.02142
151,Montenegro,Rest of Europe,2007,7.7,8.9,126.1335,9.68,90,95,25.8,92,92,0.03,5798,0.62,2.1,2.2,10.8,0,1,74.3,187.54832
152,"Egypt, Arab Rep.",Africa,2004,30.6,37.5,171.3545,0.14,97,64,28.1,97,97,0.13,2759,74.17,3.3,3.2,5.4,0,1,69.3,58.524876
153,United Arab Emirates,Middle East,2010,7.4,8.7,74.296,1.69,94,94,28.0,94,94,0.13,32535,8.55,5.1,4.9,9.9,0,1,76.3,12.054369
154,Iceland,Rest of Europe,2006,2.5,3.1,64.745,7.2,88,93,25.9,97,97,0.03,50732,0.3,0.9,0.9,10.2,1,0,81.2,86.96574
155,Malaysia,Asia,2013,6.8,8.0,124.668,0.55,96,99,25.4,97,97,0.15,9179,29.47,7.8,7.6,10.1,0,1,75.1,52.212967
156,Antigua and Barbuda,Central America and Caribbean,2002,11.9,14.6,152.267,6.67,99,56,25.3,93,98,0.1,13171,0.08,3.6,3.5,9.0,0,1,74.4,22.750751
157,Central African Republic,Africa,2002,108.5,165.8,551.1775,1.6,45,64,21.7,42,44,3.64,477,3.8,1.2,1.2,3.0,0,1,44.1,31.540686
158,Timor-Leste,Oceania,2013,45.9,54.2,154.7555,0.48,82,64,21.0,82,82,0.09,1287,1.15,11.1,11.2,4.5,0,1,68.0,53.617413
159,Serbia,Rest of Europe,2010,6.6,7.6,127.7695,8.87,89,91,25.8,91,91,0.02,5206,7.29,2.2,2.3,10.4,0,1,74.3,196.02655
160,Hungary,European Union,2001,8.2,9.6,185.7405,13.18,88,99,26.0,99,99,0.08,9357,10.19,2.2,2.2,10.3,1,0,72.2,194.01805
161,Malaysia,Asia,2005,7.0,8.2,129.6545,0.49,96,91,24.5,96,96,0.21,7275,25.69,9.0,8.8,7.6,0,1,73.6,51.654263
162,Botswana,Africa,2015,39.6,49.7,248.595,6.14,95,80,24.3,96,95,5.81,6403,2.12,6.4,6.1,9.2,0,1,67.3,45.420425
163,Chad,Africa,2005,92.4,166.9,404.29,0.46,27,64,21.3,37,25,0.96,676,10.1,1.5,1.4,1.5,0,1,48.5,17.18482
164,Malawi,Africa,2002,84.6,145.5,591.4675,1.25,64,64,21.9,79,64,8.06,271,11.71,7.7,7.6,3.2,0,1,45.5,31.682934
165,Sierra Leone,Africa,2012,100.7,147.3,410.143,3.19,91,60,22.6,91,91,0.94,627,6.71,7.9,7.8,3.2,0,1,51.0,17.108965
166,Mali,Africa,2005,88.1,156.4,302.4025,0.55,83,64,22.1,78,77,0.76,688,12.78,9.9,9.7,1.7,0,1,52.1,11.33813
167,Bangladesh,Asia,2007,44.8,57.8,147.641,0.004,95,63,20.8,96,94,0.01,856,142.66,19.5,2.1,4.7,0,1,68.6,54.216286
168,Latvia,European Union,2015,4.3,5.0,160.237,10.8,94,92,26.6,94,95,0.29,13786,1.98,2.2,2.1,12.8,1,0,74.5,135.73755
